C_Stookruimte_Knop_NO_22_2;BOOL;140.05;;0
C_Zolder_Klein_Knop_NC_23_1;BOOL;140.04;;0
B_Trap_Knop_NO_16_2;BOOL;140.03;;0
B_Slaapkamer_Knop_NC_19_8;BOOL;140.02;;0
B_Slaapkamer_Knop_NC_19_7;BOOL;140.01;;0
B_Trap_Knop_NO_17_2;BOOL;131.15;;0
B_Trap_Knop_NO_17_1;BOOL;131.14;;0
B_Slaapkamer_Knop_NC_18_1;BOOL;131.13;;0
B_Slaapkamer_Knop_NC_18_2;BOOL;131.12;;0
B_Slaapkamer_Knop_NO_18_3_Op;BOOL;131.11;;0
B_Slaapkamer_Knop_NO_18_6_Neer;BOOL;131.10;;0
B_Slaapkamer_Knop_NO_19_1_Op;BOOL;131.09;;0
B_Slaapkamer_Knop_NO_19_3_Op;BOOL;131.08;;0
B_Slaapkamer_Knop_NO_18_4_Neer;BOOL;131.07;;0
B_Slaapkamer_Knop_NO_18_5_Op;BOOL;131.06;;0
B_Slaapkamer_Knop_NO_18_8_Neer;BOOL;131.05;;0
B_Slaapkamer_Knop_NO_18_7_Op;BOOL;131.04;;0
B_Slaapkamer_Knop_NO_19_2_Neer;BOOL;131.03;;0
B_Slaapkamer_Knop_NO_19_4_Neer;BOOL;131.02;;0
B_Slaapkamer_Knop_NC_19_5;BOOL;131.01;;0
B_Slaapkamer_Knop_NC_19_6;BOOL;131.00;;0
A_Inkomhal_Knop_NC_8_2;BOOL;130.15;;0
A_Inkomhal_Knop_NO_8_3;BOOL;130.14;;0
B_Badkamer_Knop_NO_12_1;BOOL;130.13;;0
A_Berging_Knop_XX_11_1;BOOL;130.12;;0
B_Badkamer_Knop_NO_12_3_Op;BOOL;130.11;;0
B_Slaapkamer_kind_Knop_NC_13_1;BOOL;130.10;;0
B_Slaapkamer_kind_Knop_NO_13_2_Op;BOOL;130.09;;0
B_Slaapkamer_kind_Knop_NO_13_3_Neer;BOOL;130.08;;0
A_Berging_Knop_XX_10_1;BOOL;130.07;Vakantie knop : Rolluiken niet omhoog;0
B_Badkamer_Knop_NO_12_4_Neer;BOOL;130.06;;0
B_Badkamer_Knop_NO_12_2;BOOL;130.05;;0
B_Nachthal_Knop_NO_14_1;BOOL;130.04;;0
B_Nachthal_Knop_NO_14_2;BOOL;130.03;;0
B_Nachthal_Knop_NO_15_1;BOOL;130.02;;0
B_Nachthal_Knop_NO_15_2;BOOL;130.01;;0
B_Trap_Knop_NO_16_1;BOOL;130.00;;0
A_Eetkamer_Knop_NO_4_2_Neer;BOOL;121.15;;0
A_Eetkamer_Knop_NO_4_1_Op;BOOL;121.14;;0
A_Eetkamer_Knop_NO_4_4_Neer;BOOL;121.13;;0
A_Eetkamer_Knop_NO_4_8_Neer;BOOL;121.12;;0
A_Eetkamer_Knop_NO_4_6_Neer;BOOL;121.11;;0
A_Eetkamer_Knop_NO_4_10;BOOL;121.10;;0
A_Eetkamer_Knop_NO_4_5_Op;BOOL;121.09;;0
A_Eetkamer_Knop_NC_4_9;BOOL;121.08;;0
A_Eetkamer_Knop_NO_4_3_Op;BOOL;121.07;;0
A_Eetkamer_Knop_NO_4_7_Op;BOOL;121.06;;0
A_Trapberging_Knop_NO_5_1;BOOL;121.05;;0
A_Werkruimte_Knop_NC_6_1;BOOL;121.04;;0
A_Werkruimte_Knop_NO_6_2;BOOL;121.03;;0
A_Inkomhal_Knop_NO_7_1;BOOL;121.02;;0
A_Inkomhal_Knop_NO_7_2;BOOL;121.01;;0
A_Inkomhal_Knop_NC_8_1;BOOL;121.00;;0
A_Keuken_Knop_NC_1_1;BOOL;120.15;;0
A_Keuken_Knop_NC_1_2;BOOL;120.14;;0
A_Keuken_Knop_NC_1_3;BOOL;120.13;;0
A_Keuken_Knop_NC_1_4;BOOL;120.12;;0
A_Keuken_Knop_NC_2_1;BOOL;120.11;;0
A_Keuken_Knop_NC_2_2;BOOL;120.10;;0
A_Keuken_Knop_NC_2_3;BOOL;120.09;;0
A_Keuken_Knop_NC_2_4;BOOL;120.08;;0
A_Eetkamer_Knop_NC_3_5;BOOL;120.07;;0
A_Eetkamer_Knop_NC_3_4;BOOL;120.06;;0
A_Eetkamer_Knop_NC_3_3;BOOL;120.05;;0
A_Eetkamer_Knop_NC_3_1;BOOL;120.04;;0
A_Eetkamer_knop_NC_3_2;BOOL;120.03;;0
